AD	 n. 公元；广告（ad）
autograph	 v.  签名 n. 亲笔签名
automatic	 adj. 自动的；无意识的；必然的 n. 自动机械；自动手枪
autonomous	 adj. 自治的；自主的；自发的
autumn	 n.  秋， 秋季
autumn	 n. 秋天；成熟期；渐衰期，凋落期 adj. 秋天的，秋季的
available	 adj. 可获得的；可购得的；可找到的；有空的
avenue	 n.  林荫道； 道路， 大街
avenue	 n. 大街；林荫大道；[比喻](达到某物的)途径，手段，方法，渠道
average	 n. 平均；平均数；海损 adj. 平均的；普通的；通常的 v. 算出…的平均数；将…平均分配；使…平衡
avoid	 v.  避免； 避开， 躲开； 预防
avoid	 v. 避免；避开，躲避；消除
awake	 adj. 醒着的 v.  [awoke-awaken] 醒， 唤醒； 意识到， 醒悟
awake	 v. 觉醒，意识到；醒来；被唤起 adj. 醒着的
award	 v. 授予，给予；判给 n.  奖， 奖品； 报酬， 津贴
award	 v. 授予；判定 n. 奖品；判决
aware	 adj. 意识到的；知道的；有…方面知识的；懂世故的 n. (Aware)人名；(阿拉伯、索)阿瓦雷
away	 adv. 向远处，离开 adj.  不在的； 离开的
away	 adv. 离去，离开；在远处
awesome	 adj. 令人敬畏的；使人畏惧的；可怕的；极好的
awful	 adj.  极坏的； 糟糕的， 令人不快的； 可怕的； 非常的
awful	 adj. 可怕的；极坏的；使人敬畏的
awkward	 adj. 尴尬的；笨拙的；棘手的；不合适的
baby	 n.  婴儿
bachelor	 n. 学士；单身汉；（尚未交配的）小雄兽
back	 adv. 回原处，回原状；向后，后仰着；还；以前；回，往回 n.  背， 背部； 后面，
back	 n. 后面；背部；靠背；足球等的后卫；书报等的末尾 v. 支持；后退；背书；下赌注 adv. 以前；向后地；来回地；上溯；回来；回原处 adj. 后面的；过去的；拖欠的
backache	 n. 背痛；腰痛
background	 n.  出身背景， 经历； 背景资料； 背景， 底子
background	 n. 背景；隐蔽的位置 v. 作…的背景 adj. 背景的；发布背景材料的
backward	 adj. 向后的；反向的；发展迟缓的 adv. 向后地；相反地
bacon	 n. 咸肉；腌肉；熏猪肉
bacterium	 n. [微] 细菌；杆菌属
bad	 adj.  坏的； 不利的； 差的， 有缺陷的； 邪恶的， 道德败坏的； 严重的， 厉害的；
bad	 adj. 坏的；严重的；劣质的 n. 坏事；坏人 adv. 很，非常；坏地；邪恶地
badly	 adv. 非常，很；严重地，厉害地；恶劣地
badminton	 n. 羽毛球
bag	 n. 袋；猎获物；（俚）一瓶啤酒 v. 猎获；把…装入袋中；占据，私吞；使膨大
bag	 v.  把…装进袋子 n. 袋；手提包，旅行袋
baggage	 n. 行李；[交] 辎重（军队的）
bake	 v. 烤，烘焙 n. 烤；烘烤食品
bakery	 n. 面包店
balance	 n. 平衡；余额；匀称 v. 使平衡；结算；使相称
balance	 v.  使平衡， 使均衡； 称； 权衡 n. 天平，称；均衡，平衡；结存，结欠
balcony	 n. 阳台；包厢；戏院楼厅
ball	 n.  球， 球状物； 舞会
ball	 n. 球；舞会 v. 成团块
ballet	 n. 芭蕾舞剧；芭蕾舞乐曲
balloon	 n.  气球
balloon	 v. 激增；膨胀如气球 n. 气球 adj. 像气球般鼓起的
ballpoint	 n. 圆珠笔
bamboo	 n.  竹， 竹子
bamboo	 n. 竹，竹子 vt. 为…装上篾条 adj. 竹制的；土著居民的
ban	 v. 禁止，取缔 n. 禁令，禁忌
banana	 n.  香蕉
banana	 n. 香蕉；喜剧演员；大鹰钩鼻
band	 n.  乐队； 群， 伙； 带， 箍； 条纹； 波段， 频带
band	 n. 带，环；[物] 波段；(演奏流行音乐的) 乐队 v. 用带绑扎；给镶边
bandage	 n. 绷带 v. 用绷带包扎
bang	 n. 刘海；重击；突然巨响 adv. 直接地；砰然地；突然巨响地 v. 重击；发巨响
bank	 n. 银行；岸；浅滩；储库 v. 将…存入银行；倾斜转弯
bank	 v.  把存入银行 n. 银行；库；岸，堤
bar	 n. 条，棒；酒吧；障碍；法庭 v. 禁止；阻拦 prep. 除……外
barbecue	 n. 烤肉；吃烤肉的野宴 v. 烧烤；烤肉
barbecue	 v.  在烤架上烧烤 n. 烧烤野餐；金属烤架
barber	 v. 为…理发；修整 n. 理发师
barbershop	 n. 理发店 adj. 有男声合唱之和声的
bare	 adj. 空的；赤裸的，无遮蔽的 v. 露出，使赤裸 n. (Bare)人名；(英)贝尔
bargain	 n. 交易；便宜货；契约 v. 讨价还价；议价；(谈价钱后)卖
barrier	 n. 障碍物，屏障；界线 vt. 把…关入栅栏
base	 n. 基础；底部；垒 adj. 卑鄙的；低劣的 v. 以…作基础
baseball	 n.  棒球
basement	 n. 地下室；地窖
basic	 adj. 基本的；基础的 n. 基础；要素
basin	 n. 水池；流域；盆地；盆
basis	 n. 基础；底部；主要成分；基本原则或原理
basket	 n.  篮， 篓， 筐
basket	 n. 篮子；（篮球比赛的）得分；一篮之量；篮筐 vt. 装入篮
basketball	 n.  篮球
basketball	 n. 篮球；篮球运动
bat	 n. 蝙蝠；球棒；球拍；批处理文件的扩展名 v. 用球棒击球；击球率达…
bath	 n. 沐浴；浴室；浴盆 v. 洗澡
bathe	 v. 沐浴；用水洗 n. 洗澡；游泳
bathrobe	 n. 浴衣；睡衣
bathroom	 n.  浴室； 盥洗室
bathroom	 n. 浴室；厕所；盥洗室
bathtub	 n. 浴缸
battery	 n.  电池， 蓄电池； 排炮， 炮组； 一系列， 一套
battery	 n. [电] 电池，蓄电池
battle	 n. 战役；斗争 v. 斗争；作战
battleground	 n. 战场
bay	 n. 海湾；狗吠声 v. 向…吠叫
be	 v.  是， 就是； 在， 存在
be	 v. 是； 有，存在； 做，成为； 发生 n. (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝
beach	 n.  海滩， 沙滩
beach	 n. 海滩；湖滨 v. 将…拖上岸
beam	 n. 横梁；光线；电波；船宽；[计量] 秤杆 v. 发送；以梁支撑；用…照射；流露
bean	 n. 豆；嘴峰；毫无价值的东西 v. 击…的头部
beancurd	 n. 豆腐
bear	 v. 忍受，忍耐，经受住 n. 熊
bear	 v. 结果实，开花（正式） n. 熊
beard	 n.  胡须
beard	 v. 公然反对；抓…的胡须 n. 胡须；颌毛
beast	 n. 野兽；畜生，人面兽心的人
beat	 v.  [beat-beaten]　打， 击， 敲； 打败， 胜过； 跳动
beat	 v. 打；打败 n. 拍子；敲击；有规律的一连串敲打 adj. 筋疲力尽的；疲惫不堪的
beautiful	 adj.  美丽的； 完美的； 出色的
beautiful	 adj. 美丽的
beauty	 n.  美， 美丽； 美人； 美的东西
beauty	 n. 美；美丽；美人；美好的东西
because	 conj.  因为
because	 conj. 因为
become	 v.  [became-become] 变成， 成为； 开始变得
become	 v. 成为；变得；变成
bed	 n.  床； 床位； 床； 河床； 底
bed	 n. 床；基础；河底， 海底 v. 使睡觉；安置，嵌入；栽种
bedclothes	 n. 床上用品；铺盖
beddings	 n. 寝具；（建筑）[建] 基床；（家畜）草垫 adj. 适于花坛种植的 vt. 把…栽入苗床（bed的ing形式） vi. 睡（bed的ing形式）
bedroom	 n. 卧室 adj. 两性关系的；城郊住宅区的
bee	 n.  蜜蜂
bee	 n. 蜜蜂，蜂；勤劳的人
beef	 n. 牛肉；肌肉；食用牛；牢骚 v. 抱怨，告发；发牢骚
beehive	 n. 蜂窝；蜂箱
beer	 n. 啤酒 vi. 喝啤酒
before	 conj.  在…以前 prep. 在…以前；在…之前，先于；在…前面，在…面前
before	 prep. 在…之前，先于 adv. 以前；在前 conj. 在…以前；在…之前
beg	 v. 乞讨；恳求；回避正题 n. (Beg)人名；(德、塞、巴基)贝格
begin	 v.  [began-begun, beginning] 开始
begin	 v. 开始 n. (Begin)人名；(以、德)贝京；(英)贝让
beginning	 n. 开始；起点 v. 开始；创建（begin的ing形式）
behalf	 n. 代表；利益
behave	 v.  表现； 表现得体， 有礼貌； 运转； 起作用
behave	 v. 表现；（机器等）运转；举止端正；（事物）起某种作用
behavious	 n. 行为
behind	 prep.  在…的背后， 在…的后面； 落后于； 支持， 赞
behind	 prep. 落后于；支持；晚于 adv. 在后地；在原处 n. 屁股
being	 n. 存在；生命；本质；品格 adj. 存在的；现有的
belief	 n. 相信，信赖；信仰；教义
believe	 v.  相信； 认为
believe	 v. 信任；料想；笃信宗教
bell	 n.  钟， 铃； 钟声， 铃声
bell	 n. 铃，钟；钟声，铃声；钟状物 v. 装钟于，系铃于
belly	 n. 腹部；胃；食欲 v. 涨满；鼓起
belong	 v.  属于， 应归入
belong	 v. 属于，应归入；居住；适宜；应被放置
below	 adv. 在下面，在较低处；在本页下面 prep. 在…下面 n. (Below)人名；(英、德、芬、瑞典)贝洛
below	 prep.  在…下面， 到…下面； 在…以下； 低于
belt	 n.  地带， 地区； 腰带， 皮带
belt	 n. 带；腰带；地带 v. 用带子系住；用皮带抽打
bench	 n. 长凳；工作台；替补队员 v. 给…以席位；为…设置条凳
bend	 v. 使弯曲；使屈服；使致力；使朝向 n. 弯曲
beneath	 prep. 在…之下 adv. 在下方
beneficial	 adj. 有益的，有利的；可享利益的
benefit	 n. 利益，好处；救济金 v. 有益于，对…有益
bent	 n. 爱好，嗜好 adj. 弯曲的；决心的
beside	 prep.  在…旁边； 在…附近； 和…相比
beside	 prep. 在旁边；与…相比；和…无关
besides	 adv. 此外；而且 prep. 除…之外
best	 adv.  最好， 最 adj. 最好的
best	 n. 最好的人，最好的事物；最佳状态 adj. 最好的 adv. 最好地 v. 打败，胜过
betray	 v. 背叛；出卖；泄露（秘密）；露出…迹象
better	 adv.  更， 更好地 adj. 更好的；有好转的
better	 n. 长辈；较好者；打赌的人（等于bettor） adv. 更好的；更多的；较大程度地 adj. 较好的 v. 改善；胜过
between	 prep.  在…之间； 介乎…之间
between	 prep. 在…之间 adv. 在中间
beyond	 prep.  在…的那边； 远于； 迟于； 超出， 非…所及
beyond	 prep. 超过；越过；那一边；在较远的一边 adv. 在远处；在更远处 n. 远处
bicycle	 n. 自行车 v. 骑脚踏车
bicycle	 v.  骑自行车 n. 自行车
bid	 v. 投标；出价；表示；吩咐 n. 出价；叫牌；努力争取
big	 adj.  大的， 巨大的； 重大的， 主要的； 年龄较大的， 长大了的
big	 adj. 大的；重要的；量大的 adv. 大量地；顺利；夸大地 n. (Big)人名；(土)比格
bike	 n.  自行车
bike	 n. 自行车；脚踏车 v. 骑自行车（或摩托车）
bill	 n.  账单； 议案， 法案； 纸币， 钞票； 单子， 节目单； 招贴， 海报
bill	 n. [法] 法案；广告；账单；[金融] 票据；钞票；清单 v. 宣布；开账单；用海报宣传
billion	 n. 十亿；大量 num. 十亿 adj. 十亿的
bingo	 n. 宾戈游戏
biochemistry	 n. 生物化学
biography	 n. 传记；档案；个人简介
biology	 n.  生物学
biology	 n. （一个地区全部的）生物；生物学
bird	 n.  鸟； 禽
bird	 n. 鸟；家伙；羽毛球 v. 向…喝倒彩；起哄
birdcage	 n. 鸟笼；鸟笼状物；信号灯；宿舍
birth	 n.  出生， 分娩； 出身； 起源， 根源
birth	 n. 出生；血统，出身；起源
birthday	 n.  生日
birthday	 n. 生日，诞辰；诞生的日子
birthplace	 n. 出生地
biscuit	 n. 小点心，饼干
bishop	 n. （基督教的）主教；（国际象棋的）象
bit	 n.  一点儿， 少许； 小片， 小块
bit	 n. [计] 比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块 vt. 控制 adj. 很小的；微不足道的 adv. 有点儿；相当
bite	 v. 咬；刺痛 n. 咬；一口；咬伤；刺痛 abbr. 机内测试设备（Built-In Test Equipment）
bitter	 adj. 苦的；痛苦的；尖刻的；充满仇恨的 n. 苦味；苦啤酒 adv. 激烈地；严寒刺骨地 v. 使变苦
black	 adj.  黑色的； 黑暗的； 黑人的； 不加奶的； 黯淡的， 毫无希望的
black	 adj. 黑色的；黑人的；邪恶的 n. 黑色；黑人；黑颜料 v. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
blackboard	 n.  黑板
blackboard	 n. 黑板
blame	 v. 责备；归咎于 n. 责备；责任；过失
blank	 adj.  空白的， 空着的； 茫然的， 无表情的
blank	 adj. 空白的；空虚的；单调的 n. 空白；空虚；空白表格 v. 使…无效；使…模糊；封锁
blanket	 n. 毛毯，毯子；毯状物，覆盖层 adj. 总括的，全体的；没有限制的 v. 覆盖，掩盖；用毯覆盖
bleed	 v. 使出血；榨取
bless	 v. 祝福；保佑；赞美 n. (Bless)人名；(英、意、德、匈)布莱斯
blind	 adj. 盲目的；瞎的 adv. 盲目地；看不见地 n. 掩饰，借口；百叶窗 v. 使失明；使失去理智
block	 n. 块；街区；大厦；障碍物 v. 阻止；阻塞；限制；封盖 adj. 成批的，大块的；交通堵塞的
block	 v. 阻碍；堵塞 n.  大块； 一排房屋； 街区
blood	 n.  血， 血液； 血统， 家族
blood	 n. 血，血液；血统 v. 从…抽血；使先取得经验
blouse	 n. 宽松的上衣；女装衬衫 vt. 使…宽松下垂 vi. 宽松下垂
blow	 n. 吹；打击；殴打 v. 风吹；喘气
blow	 v. 〔风〕吹，刮 n. 打击
blue	 adj. 蓝色的；沮丧的，忧郁的；下流的，色情的 n.  蓝色
blue	 n. 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌 adj. 蓝色的；沮丧的，忧郁的；下流的 v. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于
board	 n.  板， 牌子； 木板， 纸板； 委员会， 董事会， 理事会； 伙食
board	 n. 董事会；木板；甲板；膳食 v. 上（飞机、车、船等）；用板盖上；给提供膳宿
boat	 n.  船， 小船
boat	 n. 小船；轮船 v. 划船
boating	 n. 划船 adj. 划船的 v. 划船（boat的ing形式）
body	 n.  身体， 躯体； 躯干， 主体； 尸体； 物体； (视作
boil	 v. 沸腾，煮沸 n.  沸腾
boil	 v. 煮沸，沸腾；激动，激昂 n. 沸腾，煮沸；疖子
bomb	 v. 轰炸，投弹于 n. 炸弹
bond	 n. 债券；结合；约定；粘合剂；纽带 v. 结合，团结在一起
bone	 n. 骨；骨骼 v. 剔去的骨；施骨肥于
bonus	 n. 奖金；红利；额外津贴
book	 n. 书籍；卷；帐簿；名册；工作簿 v. 预订；登记
book	 v.  预订，　预约 n. 书，书籍；本子，簿册；
bookcase	 n.  书柜， 书架
bookcase	 n. [家具] 书柜，书架
bookmark	 n. 书签（等于bookmarker）；标记
bookshelf	 n. 书架
bookshop	 n. 书店
bookstore	 n. 书店（等于bookshop）
boom	 v. 使兴旺；发隆隆声 n. 繁荣；吊杆；隆隆声
boot	 v. 引导；踢；解雇；使穿靴 n. 靴子；踢；汽车行李箱
booth	 n. 货摊；公用电话亭
border	 v.  给…加上边， 围； 邻接， 毗连； 近似， 接近 n. 边，边缘；边界，边境
bored	 adj.  无聊的， 无趣的； 厌烦的
bored	 adj. 无聊的；无趣的；烦人的 v. 使厌烦（bore的过去式）；烦扰
boring	 adj. 无聊的；令人厌烦的 n. 钻孔 v. 钻孔；使厌烦；挖空（bore的ing形式）
born	 adj.  出生的， 产生的； 天生的
born	 v. 出世（bear的过去分词） adj. 天生的 n. (Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩
borrow	 v.  借， 借入； 借用， 采用
borrow	 v. 借；借用；从其他语言中引入 n. (Borrow)人名；(英)博罗
